Facility Name,Sports,Latitude,Longitude,Activity Type,activities
Thomson Nature Park,Running/Jogging/Walking,1.3826408205973073,103.8220389,Outdoor,Running/Jogging/Walking
Windsor Nature Park,Running/Jogging/Walking,1.3568152417612294,103.82125945835784,Outdoor,Running/Jogging/Walking
Chestnut Nature Park,Running/Jogging/Walking,1.3768728987521912,103.7794380914777,Outdoor,Running/Jogging/Walking
Rifle Range Nature Park,Running/Jogging/Walking,1.3471603920567965,103.78405998387908,Outdoor,Running/Jogging/Walking
Lower Peirce Reservoir Park,Running/Jogging/Walking,1.3692147195643871,103.82649974881976,Outdoor,Running/Jogging/Walking
Zhenghua Nature Park,Running/Jogging/Walking,1.3678343883470532,103.77835108165957,Outdoor,Running/Jogging/Walking
Bukit Batok Town Park,Running/Jogging/Walking,1.357354333611622,103.75607205285507,Outdoor,Running/Jogging/Walking
Bukit Batok Nature Park,Running/Jogging/Walking,1.3500086942926155,103.7646222,Outdoor,Running/Jogging/Walking
Labrador Nature Park,Running/Jogging/Walking,1.2643669344593973,103.80339748868586,Outdoor,Running/Jogging/Walking
Springleaf Nature Park,Running/Jogging/Walking,1.4018864563587008,103.8202989368223,Outdoor,Running/Jogging/Walking
Central Catchment Nature Reserve,Running/Jogging/Walking,1.380770971767438,103.8056173588953,Outdoor,Running/Jogging/Walking
Pulau Sekudu,Running/Jogging/Walking,1.403917815667064,103.98804174981142,Outdoor,Running/Jogging/Walking
Pulau Unum,Running/Jogging/Walking,1.4330328632249223,104.05378181778914,Outdoor,Running/Jogging/Walking
Beting Bronok,Running/Jogging/Walking,1.4370477517511775,104.04685703680678,Outdoor,Running/Jogging/Walking
Dairy Farm Nature Park,Running/Jogging/Walking,1.3626384775863845,103.77355529295431,Outdoor,Running/Jogging/Walking
Sungei Buloh Wetland Reserve,Running/Jogging/Walking,1.4447381191632054,103.72452299950965,Outdoor,Running/Jogging/Walking
Kranji Coastal Nature Park,Running/Jogging/Walking,1.443494442808356,103.73491029435844,Outdoor,Running/Jogging/Walking
Kranji Reservoir Park B,Running/Jogging/Walking,1.439647254559817,103.73782912907258,Outdoor,Running/Jogging/Walking
Kranji Marshes,Running/Jogging/Walking,1.4191552027465542,103.73022739619704,Outdoor,Running/Jogging/Walking
Sungei Buloh Southern Extension,Running/Jogging/Walking,1.4362850593518035,103.71979436257163,Outdoor,Running/Jogging/Walking
Kranji Reservoir Park A,Running/Jogging/Walking,1.4382098785134965,103.74293952628184,Outdoor,Running/Jogging/Walking
Berlayer Creek,Running/Jogging/Walking,1.2677204017234178,103.80514529311108,Outdoor,Running/Jogging/Walking
Pulau Ubin And Chek Jawa,Running/Jogging/Walking,1.4137521320857342,103.96541181276812,Outdoor,Running/Jogging/Walking
Railway Corridor Rifle Range Connector,Running/Jogging/Walking,1.3413819155173663,103.77932119660632,Outdoor,Running/Jogging/Walking
Hindhede Nature Park,Running/Jogging/Walking,1.350243689746012,103.77603671278706,Outdoor,Running/Jogging/Walking
Rail Corridor,Running/Jogging/Walking,1.4034046970832672,103.7535615435598,Outdoor,Running/Jogging/Walking
Bukit Chermin Boardwalk,Running/Jogging/Walking,1.2652889536400571,103.80741828570513,Outdoor,Running/Jogging/Walking
Macritchie Reservoir Pk,Running/Jogging/Walking,1.343450909087146,103.83628135800583,Outdoor,Running/Jogging/Walking
Kallang Linear Park,Running/Jogging/Walking,1.350448945955822,103.8556953,Outdoor,Running/Jogging/Walking
Old Upper Aljunied Road,Running/Jogging/Walking,1.338695399595206,103.87522010900422,Outdoor,Running/Jogging/Walking
Armenian Street (Fcp),Running/Jogging/Walking,1.294482568247657,103.8495024035567,Outdoor,Running/Jogging/Walking
Connaught Drive,Running/Jogging/Walking,1.2898550095739831,103.85327993307943,Outdoor,Running/Jogging/Walking
Canning Rise (Fcp),Running/Jogging/Walking,1.2964151858156534,103.84788253737088,Outdoor,Running/Jogging/Walking
Camp Road Interim Park,Running/Jogging/Walking,1.3024565695099892,103.81847352134145,Outdoor,Running/Jogging/Walking
Changi West Boardwalk (Changi Bc),Running/Jogging/Walking,1.390214721802019,103.9759334480344,Outdoor,Running/Jogging/Walking
Changi Pt Ferry Terminal,Running/Jogging/Walking,1.3912069094980075,103.98731252320438,Outdoor,Running/Jogging/Walking
Tanah Merah Pg,Running/Jogging/Walking,1.3290293360905585,103.9468755488788,Outdoor,Running/Jogging/Walking
Mariam Walk Pg,Running/Jogging/Walking,1.3595473597296697,103.96854744421532,Outdoor,Running/Jogging/Walking
Loyang View Pg,Running/Jogging/Walking,1.3630395003067224,103.96563729241969,Outdoor,Running/Jogging/Walking
Jln Limau Manis Pg,Running/Jogging/Walking,1.324734002766244,103.949045,Outdoor,Running/Jogging/Walking
Jln Angin Laut Pg,Running/Jogging/Walking,1.337183988818048,103.95622497877842,Outdoor,Running/Jogging/Walking
Mera Terrace Pg,Running/Jogging/Walking,1.347404439021593,103.96350603982197,Outdoor,Running/Jogging/Walking
Eastwood Pk Pg,Running/Jogging/Walking,1.323160024115253,103.95756375074508,Outdoor,Running/Jogging/Walking
Jln Chempaka Kuning Pg,Running/Jogging/Walking,1.3297574948727169,103.95016432778704,Outdoor,Running/Jogging/Walking
Jln Pari Burong Pg,Running/Jogging/Walking,1.3338302667621265,103.9469615014862,Outdoor,Running/Jogging/Walking
Jln Pari Dedap Pg,Running/Jogging/Walking,1.3330205537387907,103.9438804788435,Outdoor,Running/Jogging/Walking
Jln Pelatok Pg,Running/Jogging/Walking,1.3461443277769334,103.9603400330171,Outdoor,Running/Jogging/Walking
Meragi Rd Pg,Running/Jogging/Walking,1.3443834054676365,103.96028263817686,Outdoor,Running/Jogging/Walking
Sunbird Circle Pg,Running/Jogging/Walking,1.3390909036288612,103.95824012802514,Outdoor,Running/Jogging/Walking
Pesari Walk Pg,Running/Jogging/Walking,1.324429638,103.9539785936791,Outdoor,Running/Jogging/Walking
Bedok Ria Crescent Pg,Running/Jogging/Walking,1.3274173484689635,103.95308237796718,Outdoor,Running/Jogging/Walking
Harvey Crescent Pg,Running/Jogging/Walking,1.340659028078158,103.95519192385744,Outdoor,Running/Jogging/Walking
Mariam Way Pg,Running/Jogging/Walking,1.3619451550131056,103.96623348811328,Outdoor,Running/Jogging/Walking
Bedok Terrace Pg,Running/Jogging/Walking,1.3255436014309503,103.94750561924356,Outdoor,Running/Jogging/Walking
Kew Dr Pg,Running/Jogging/Walking,1.3207095314104476,103.95175430405384,Outdoor,Running/Jogging/Walking
Limau Garden Pg,Running/Jogging/Walking,1.3224821249750645,103.95069132925602,Outdoor,Running/Jogging/Walking
Lucky Gardens Pg,Running/Jogging/Walking,1.3192870715386174,103.9413761221936,Outdoor,Running/Jogging/Walking
Sennett Ave Pg,Running/Jogging/Walking,1.3169670574437695,103.9362801690712,Outdoor,Running/Jogging/Walking
Jln Limau Kasturi Pg,Running/Jogging/Walking,1.3239737649827956,103.9463890608454,Outdoor,Running/Jogging/Walking
Kew Ave Pg,Running/Jogging/Walking,1.3216265387648582,103.94845050181046,Outdoor,Running/Jogging/Walking
Kew Crescent Pg,Running/Jogging/Walking,1.3191875527603305,103.94858574719048,Outdoor,Running/Jogging/Walking
Limau Villas Pg,Running/Jogging/Walking,1.323872450926419,103.95051409597892,Outdoor,Running/Jogging/Walking
Changi Heights Pg,Running/Jogging/Walking,1.3628436477636612,103.97220437477232,Outdoor,Running/Jogging/Walking
Turnhouse Pk,Running/Jogging/Walking,1.3899035701307043,103.97897923032566,Outdoor,Running/Jogging/Walking
Sennett Ave Os,Running/Jogging/Walking,1.3187872216619958,103.93933426138598,Outdoor,Running/Jogging/Walking
Jln Limau Kasturi Os,Running/Jogging/Walking,1.3244942567211289,103.94622771976444,Outdoor,Running/Jogging/Walking
Jln Pelatok Os,Running/Jogging/Walking,1.3461745741609257,103.9608568,Outdoor,Running/Jogging/Walking
Changi East Boardwalk (Changi Ferry Ter),Running/Jogging/Walking,1.3922188152832382,103.98418177001932,Outdoor,Running/Jogging/Walking
Changi Point Promenade,Running/Jogging/Walking,1.390205184340595,103.98911988020669,Outdoor,Running/Jogging/Walking
Changi Point Waterfront Pk,Running/Jogging/Walking,1.390432538379985,103.98826627962664,Outdoor,Running/Jogging/Walking
East Coast Park Area A,Running/Jogging/Walking,1.2940495430765615,103.8695862425583,Outdoor,Running/Jogging/Walking
East Coast Park Area B,Running/Jogging/Walking,1.2964678008886763,103.9001313600413,Outdoor,Running/Jogging/Walking
East Coast Park Area C,Running/Jogging/Walking,1.3003516412785827,103.9124608129566,Outdoor,Running/Jogging/Walking
East Coast Park Area D,Running/Jogging/Walking,1.3042740200267715,103.92522216230093,Outdoor,Running/Jogging/Walking
East Coast Park Area E,Running/Jogging/Walking,1.3070449786398983,103.93262756176313,Outdoor,Running/Jogging/Walking
East Coast Park Area F,Running/Jogging/Walking,1.3094728613979874,103.93960025910638,Outdoor,Running/Jogging/Walking
East Coast Park Area G,Running/Jogging/Walking,1.3136017962337767,103.95838226458032,Outdoor,Running/Jogging/Walking
East Coast Park Area H,Running/Jogging/Walking,1.3156703807949146,103.96739962650976,Outdoor,Running/Jogging/Walking
Bedok Town Pk,Running/Jogging/Walking,1.3349549871052688,103.92387217567484,Outdoor,Running/Jogging/Walking
Bedok Reservoir Pk,Running/Jogging/Walking,1.345993325913916,103.9268117020706,Outdoor,Running/Jogging/Walking
Yarrow Park,Running/Jogging/Walking,1.3154230233745818,103.9215019485704,Outdoor,Running/Jogging/Walking
Siglap Linear Pk (Upp Ec Rd-M Parade),Running/Jogging/Walking,1.3112841044746677,103.92840651937104,Outdoor,Running/Jogging/Walking
Tanjong Katong Rd South Pg,Running/Jogging/Walking,1.3001741105275455,103.89732193154624,Outdoor,Running/Jogging/Walking
Jln Buloh Perindu Pg,Running/Jogging/Walking,1.308482597500017,103.9193844827303,Outdoor,Running/Jogging/Walking
Meyer Rd Pg,Running/Jogging/Walking,1.298568516607628,103.89419707868944,Outdoor,Running/Jogging/Walking
East Coast Terrace Pk,Running/Jogging/Walking,1.310960090654787,103.92380556094116,Outdoor,Running/Jogging/Walking
Telok Kurau Pk,Running/Jogging/Walking,1.315364761626945,103.91428584740628,Outdoor,Running/Jogging/Walking
Elite Terrace Pk,Running/Jogging/Walking,1.315598845207545,103.92430631411794,Outdoor,Running/Jogging/Walking
Siglap Linear Pk (Jln B'Wan-Upp Ec Rd),Running/Jogging/Walking,1.3143798428279885,103.92740863602118,Outdoor,Running/Jogging/Walking
Geylang East Pk,Running/Jogging/Walking,1.3217717845216927,103.88765907111087,Outdoor,Running/Jogging/Walking
Greenfield Dr Pg,Running/Jogging/Walking,1.313035476842194,103.9176563499074,Outdoor,Running/Jogging/Walking
Bangsawan Pk,Running/Jogging/Walking,1.3212075676318946,103.9238379455894,Outdoor,Running/Jogging/Walking
Aida Pk,Running/Jogging/Walking,1.319379621733533,103.92792692780095,Outdoor,Running/Jogging/Walking
Jln Senang Pg,Running/Jogging/Walking,1.3290153443376749,103.91556908211406,Outdoor,Running/Jogging/Walking
Opera Estate Football Field,Running/Jogging/Walking,1.3201011447755768,103.9244561275522,Outdoor,Running/Jogging/Walking
Carpmael Park,Running/Jogging/Walking,1.3115022361545772,103.89895133769063,Outdoor,Running/Jogging/Walking
Taman Kembangan Pg,Running/Jogging/Walking,1.325003304751308,103.91440219019876,Outdoor,Running/Jogging/Walking
Waringin Pk Pg,Running/Jogging/Walking,1.3230230142980837,103.91917852870084,Outdoor,Running/Jogging/Walking
Arthur Pk,Running/Jogging/Walking,1.303888229,103.88821400899496,Outdoor,Running/Jogging/Walking
Lorong 40 Geylang Pg,Running/Jogging/Walking,1.313633000793319,103.88936940225832,Outdoor,Running/Jogging/Walking
Guillemard Rd Os,Running/Jogging/Walking,1.3145512726897666,103.89239730438597,Outdoor,Running/Jogging/Walking
Interim Pk At Terang Bulan Ave,Running/Jogging/Walking,1.3216332972410234,103.9215767962677,Outdoor,Running/Jogging/Walking
Mt Batten Rd/Old Airport Rd Os,Running/Jogging/Walking,1.30574055,103.88330755751576,Outdoor,Running/Jogging/Walking
Katong Pk,Running/Jogging/Walking,1.2971665037074374,103.88634784301112,Outdoor,Running/Jogging/Walking
Marine Parade Rd Pk,Running/Jogging/Walking,1.3048983342903429,103.90802872780476,Outdoor,Running/Jogging/Walking
Wilkinson Interim Pk,Running/Jogging/Walking,1.3016518077516772,103.88731326519634,Outdoor,Running/Jogging/Walking
Haig Walk (Geylang Rd-Dunman Rd),Running/Jogging/Walking,1.306519322047545,103.90074024162854,Outdoor,Running/Jogging/Walking
Joo Chiat Terrace Pk,Running/Jogging/Walking,1.3144083767581638,103.90169892988682,Outdoor,Running/Jogging/Walking
Lorong Sarina Interim Pk,Running/Jogging/Walking,1.320143721936378,103.90608246484211,Outdoor,Running/Jogging/Walking
Jln Ismail Pk,Running/Jogging/Walking,1.323199026136176,103.9058590154343,Outdoor,Running/Jogging/Walking
Pasir Ris Pk,Running/Jogging/Walking,1.378684204466107,103.95217308419336,Outdoor,Running/Jogging/Walking
Pasir Ris Town Pk,Running/Jogging/Walking,1.3716892154609006,103.95240633384716,Outdoor,Running/Jogging/Walking
Sun Plaza Pk,Running/Jogging/Walking,1.358555426020648,103.94344045133047,Outdoor,Running/Jogging/Walking
Sg Api Api Pk,Running/Jogging/Walking,1.378883969790186,103.94600303665656,Outdoor,Running/Jogging/Walking
Elias Terrace Pg,Running/Jogging/Walking,1.3722284299777547,103.94108425200558,Outdoor,Running/Jogging/Walking
Hortpark,Running/Jogging/Walking,1.2790779706631137,103.79805321601928,Outdoor,Running/Jogging/Walking
Pasir Panjang Nursery,Running/Jogging/Walking,1.281589774272301,103.79387132126212,Outdoor,Running/Jogging/Walking
Native Plant Centre,Running/Jogging/Walking,1.417275032313983,103.72747774076976,Outdoor,Running/Jogging/Walking
Pek Kio Park,Running/Jogging/Walking,1.3160787636454023,103.84921504660436,Outdoor,Running/Jogging/Walking
Ang Mo Kio Town Garden East,Running/Jogging/Walking,1.3705710218874323,103.85028589165374,Outdoor,Running/Jogging/Walking
Ang Mo Kio Town Garden West,Running/Jogging/Walking,1.3745094714262072,103.8427395942111,Outdoor,Running/Jogging/Walking
Bishan-Ang Mo Kio Park (Pond Gardens),Running/Jogging/Walking,1.365206898591455,103.83640855422084,Outdoor,Running/Jogging/Walking
