Facility Name,Sports,Latitude,Longitude,Activity Type,activities
Begonia Rd Pg,Running/Jogging/Walking,1.387819699835976,103.8632895690186,Outdoor,Running/Jogging/Walking
Jln Naung Pg,Running/Jogging/Walking,1.3695631217362907,103.89282189717284,Outdoor,Running/Jogging/Walking
Parry Rd Pg,Running/Jogging/Walking,1.3660287545609888,103.87750439954596,Outdoor,Running/Jogging/Walking
Saraca Rd Pg,Running/Jogging/Walking,1.3866687658523218,103.8586374762825,Outdoor,Running/Jogging/Walking
Dedap Place Pg,Running/Jogging/Walking,1.3877975742272126,103.86841336325828,Outdoor,Running/Jogging/Walking
Poh Huat Rd Pg,Running/Jogging/Walking,1.3669371159298906,103.88161112353755,Outdoor,Running/Jogging/Walking
Stratton Walk Pg,Running/Jogging/Walking,1.3792369849722972,103.86696717182308,Outdoor,Running/Jogging/Walking
Seletar Terrace Pg,Running/Jogging/Walking,1.381482754028751,103.86877440484598,Outdoor,Running/Jogging/Walking
St Anne'S Wood Pg,Running/Jogging/Walking,1.3916400676753395,103.9037361498062,Outdoor,Running/Jogging/Walking
Pk Villas Terrace Pg,Running/Jogging/Walking,1.368992827751172,103.87996361274368,Outdoor,Running/Jogging/Walking
Mimosa Terrace Pg,Running/Jogging/Walking,1.3840503584654404,103.86044968677317,Outdoor,Running/Jogging/Walking
Dew Garden,Running/Jogging/Walking,1.3992663452473966,103.8710654,Outdoor,Running/Jogging/Walking
Parry Ave Interim Pk,Running/Jogging/Walking,1.3639250471555793,103.8811344873211,Outdoor,Running/Jogging/Walking
Richards Ave Pk,Running/Jogging/Walking,1.3609285905492048,103.8821291218715,Outdoor,Running/Jogging/Walking
Butterfly Ave Pg,Running/Jogging/Walking,1.3344335664826814,103.87733653681292,Outdoor,Running/Jogging/Walking
Chempaka Ave Pg,Running/Jogging/Walking,1.3318740875843238,103.87561556762392,Outdoor,Running/Jogging/Walking
Jln Geneng Interim Pk,Running/Jogging/Walking,1.35333767,103.8808747649801,Outdoor,Running/Jogging/Walking
Sengkang Riverside Pk,Running/Jogging/Walking,1.399448212789253,103.88432517223448,Outdoor,Running/Jogging/Walking
Oasis@Mulberry Pk,Running/Jogging/Walking,1.3328961389324478,103.87843597247893,Outdoor,Running/Jogging/Walking
Siang Kuang Ave Interim Pk,Running/Jogging/Walking,1.329828369730656,103.87304948216776,Outdoor,Running/Jogging/Walking
Lorong Tanggam Pk,Running/Jogging/Walking,1.3989789258957948,103.87375495285376,Outdoor,Running/Jogging/Walking
Upper Paya Lebar Interim Park,Running/Jogging/Walking,1.3435839278077557,103.88246411823552,Outdoor,Running/Jogging/Walking
Nim Meadow Park,Running/Jogging/Walking,1.378616619290899,103.86340432365589,Outdoor,Running/Jogging/Walking
Greenway South,Running/Jogging/Walking,1.3351785173598223,103.8720608249384,Outdoor,Running/Jogging/Walking
Fernvale Park,Running/Jogging/Walking,1.397514524959929,103.87487871240788,Outdoor,Running/Jogging/Walking
Sembawang Pk,Running/Jogging/Walking,1.461502967101001,103.83684542660218,Outdoor,Running/Jogging/Walking
Yishun Pk,Running/Jogging/Walking,1.4243757202836804,103.8426096912604,Outdoor,Running/Jogging/Walking
Lower Seletar Reservoir Park,Running/Jogging/Walking,1.4074398977574718,103.82889324908156,Outdoor,Running/Jogging/Walking
Lentor Walk Pg,Running/Jogging/Walking,1.388630957046075,103.83838324853672,Outdoor,Running/Jogging/Walking
Countryside Pg,Running/Jogging/Walking,1.390187591950226,103.83840795464988,Outdoor,Running/Jogging/Walking
Lentor Street Pg,Running/Jogging/Walking,1.3900981863835726,103.83427652569794,Outdoor,Running/Jogging/Walking
Florissa Pk Pg,Running/Jogging/Walking,1.3869730932271511,103.83507298158987,Outdoor,Running/Jogging/Walking
Fudu Walk Pg,Running/Jogging/Walking,1.3898351218920812,103.83723438334812,Outdoor,Running/Jogging/Walking
Lentor Green Pg,Running/Jogging/Walking,1.3852857282719149,103.83705647129632,Outdoor,Running/Jogging/Walking
Lentor Grove Pg,Running/Jogging/Walking,1.3863846910693212,103.83837072390618,Outdoor,Running/Jogging/Walking
Lentor Rd Pg,Running/Jogging/Walking,1.388291903488832,103.8375722009472,Outdoor,Running/Jogging/Walking
Lentor Vale Pg,Running/Jogging/Walking,1.388054236018028,103.8361460821369,Outdoor,Running/Jogging/Walking
Banyan Villas Pg,Running/Jogging/Walking,1.3872785047323783,103.83885324901108,Outdoor,Running/Jogging/Walking
Yishun Neighbourhood Pk,Running/Jogging/Walking,1.4377572398692902,103.835058,Outdoor,Running/Jogging/Walking
Platina Rd Pg,Running/Jogging/Walking,1.427545345731652,103.82611872435533,Outdoor,Running/Jogging/Walking
Goodlink Pk Pg,Running/Jogging/Walking,1.4272996068699648,103.8253925844362,Outdoor,Running/Jogging/Walking
Springleaf Garden Pg,Running/Jogging/Walking,1.3980392651067637,103.82232177612995,Outdoor,Running/Jogging/Walking
Thong Soon Green Pg,Running/Jogging/Walking,1.4000547089156712,103.81838893422372,Outdoor,Running/Jogging/Walking
Springleaf Ave Pg,Running/Jogging/Walking,1.4009038349808505,103.82259766879524,Outdoor,Running/Jogging/Walking
Kandis Garden,Running/Jogging/Walking,1.4561915535787118,103.83564474294631,Outdoor,Running/Jogging/Walking
Janggus Garden,Running/Jogging/Walking,1.4575398277036695,103.8369838,Outdoor,Running/Jogging/Walking
Pebble Garden,Running/Jogging/Walking,1.4506449229179543,103.82949312449736,Outdoor,Running/Jogging/Walking
Springside Pk,Running/Jogging/Walking,1.4056719,103.82060743654344,Outdoor,Running/Jogging/Walking
Yishun Pond Pk,Running/Jogging/Walking,1.4280122121941303,103.83948703941309,Outdoor,Running/Jogging/Walking
Marsiling Park,Running/Jogging/Walking,1.4376329309110691,103.76993442393145,Outdoor,Running/Jogging/Walking
Choa Chu Kang Pk,Running/Jogging/Walking,1.3868788943203836,103.74719419176785,Outdoor,Running/Jogging/Walking
Woodlands Town Pk East,Running/Jogging/Walking,1.4366664600205694,103.77932336433604,Outdoor,Running/Jogging/Walking
Cashew Rd Pg,Running/Jogging/Walking,1.370599819099977,103.76466780670852,Outdoor,Running/Jogging/Walking
Chestnut Dr Pg,Running/Jogging/Walking,1.3676337346860437,103.76882971645354,Outdoor,Running/Jogging/Walking
Cashew Link Pg,Running/Jogging/Walking,1.3713588873705078,103.76892501358682,Outdoor,Running/Jogging/Walking
Jln Rasok Pk,Running/Jogging/Walking,1.4165006473670392,103.7590319133802,Outdoor,Running/Jogging/Walking
Almond Crescent Pg,Running/Jogging/Walking,1.373212444460707,103.7719806052826,Outdoor,Running/Jogging/Walking
Hazel Pk Os,Running/Jogging/Walking,1.371634605,103.76364488514352,Outdoor,Running/Jogging/Walking
Villa Verde Pk,Running/Jogging/Walking,1.3904215007174316,103.75295144222656,Outdoor,Running/Jogging/Walking
Admiralty Pk,Running/Jogging/Walking,1.4503318491150956,103.78004641287625,Outdoor,Running/Jogging/Walking
Cashew Crescent Fc Pg,Running/Jogging/Walking,1.372244853589548,103.76949467203684,Outdoor,Running/Jogging/Walking
Market Street Park,Running/Jogging/Walking,1.2834502283705302,103.85025257913112,Outdoor,Running/Jogging/Walking
Hampstead Wetlands Park,Running/Jogging/Walking,1.40918682,103.86927945315952,Outdoor,Running/Jogging/Walking
Youth Olympic Pk,Running/Jogging/Walking,1.2890334954405511,103.86063943635142,Outdoor,Running/Jogging/Walking
Macpherson Linear Pk,Running/Jogging/Walking,1.3337984538293288,103.88170606628692,Outdoor,Running/Jogging/Walking
Coronation Park,Running/Jogging/Walking,1.3220260236043055,103.79640044992216,Outdoor,Running/Jogging/Walking
Holland Village Pk,Running/Jogging/Walking,1.3117302451456774,103.79554394732374,Outdoor,Running/Jogging/Walking
Bunga Rampai Pk,Running/Jogging/Walking,1.3404755199680845,103.88429612227289,Outdoor,Running/Jogging/Walking
Jalan Sembilang Park,Running/Jogging/Walking,1.3565655208983551,103.83403585965392,Outdoor,Running/Jogging/Walking
Bidadari Pk,Running/Jogging/Walking,1.3406917048981004,103.8743258471834,Outdoor,Running/Jogging/Walking
St Michael'S Pg,Running/Jogging/Walking,1.3262280949094876,103.8648876663764,Outdoor,Running/Jogging/Walking
St Michael'S Fc,Running/Jogging/Walking,1.326495585887167,103.86510904659654,Outdoor,Running/Jogging/Walking
Cambridge Park,Running/Jogging/Walking,1.3136609018175494,103.8468378224805,Outdoor,Running/Jogging/Walking
Kheam Hock Park,Running/Jogging/Walking,1.3304435596940567,103.81920708492936,Outdoor,Running/Jogging/Walking
Ceylon Road Interim Park,Running/Jogging/Walking,1.309780416441062,103.89959814941292,Outdoor,Running/Jogging/Walking
Haig Walk Extension,Running/Jogging/Walking,1.3106817056633298,103.89867693205032,Outdoor,Running/Jogging/Walking
Onan Road Green Space,Running/Jogging/Walking,1.310097065723525,103.90071942071468,Outdoor,Running/Jogging/Walking
Tras Link Pk,Running/Jogging/Walking,1.2764576104339909,103.84379019866222,Outdoor,Running/Jogging/Walking
Venus Green,Running/Jogging/Walking,1.358671631467662,103.8272662339768,Outdoor,Running/Jogging/Walking
Green Lane Park,Running/Jogging/Walking,1.310798045128343,103.89248426858596,Outdoor,Running/Jogging/Walking
Mar Thoma Road Park,Running/Jogging/Walking,1.3273571946342186,103.86202838719863,Outdoor,Running/Jogging/Walking
Sian Tuan Interim Park,Running/Jogging/Walking,1.338593568895342,103.78618858002515,Outdoor,Running/Jogging/Walking
Lorong Ong Lye Park,Running/Jogging/Walking,1.3477598168274654,103.87869663058362,Outdoor,Running/Jogging/Walking
Koon Seng Park,Running/Jogging/Walking,1.311044866160587,103.90283322069531,Outdoor,Running/Jogging/Walking
How Sun Linear Park,Running/Jogging/Walking,1.345891826878166,103.87813597290209,Outdoor,Running/Jogging/Walking
Tampines Eco Green Pk,Running/Jogging/Walking,1.3637104850934063,103.94837674998736,Outdoor,Running/Jogging/Walking
Lengkong Enam Park,Running/Jogging/Walking,1.327364090817036,103.91473692531704,Outdoor,Running/Jogging/Walking
Jalan Senang Linear Park,Running/Jogging/Walking,1.3255723945320617,103.9171842498364,Outdoor,Running/Jogging/Walking
Tanah Puteh Pk,Running/Jogging/Walking,1.3158268685002996,103.93135824060478,Outdoor,Running/Jogging/Walking
Telok Kurau Lorong N Pk,Running/Jogging/Walking,1.3103250756376554,103.91280540959376,Outdoor,Running/Jogging/Walking
Jln Daud Pk,Running/Jogging/Walking,1.3258268500339527,103.90710085142923,Outdoor,Running/Jogging/Walking
Jln Daud Interim Pk,Running/Jogging/Walking,1.3255910007377705,103.9065336272202,Outdoor,Running/Jogging/Walking
Jln Eunos Interim Pk,Running/Jogging/Walking,1.3249340929151467,103.90600138050888,Outdoor,Running/Jogging/Walking
Jln Awang Interim Pk,Running/Jogging/Walking,1.323882729509606,103.90586782493943,Outdoor,Running/Jogging/Walking
Jln Yasin Interim Pk,Running/Jogging/Walking,1.3213610329678636,103.90555486606854,Outdoor,Running/Jogging/Walking
Sennett Ave Linear Pk,Running/Jogging/Walking,1.317581114211267,103.93596368818606,Outdoor,Running/Jogging/Walking
Jalan Ishak Park,Running/Jogging/Walking,1.324143795221918,103.90719783457328,Outdoor,Running/Jogging/Walking
Lorong Marican Park,Running/Jogging/Walking,1.3238874167098094,103.90793148364664,Outdoor,Running/Jogging/Walking
Lorong Marzuki Park,Running/Jogging/Walking,1.3237972700036256,103.90833923340004,Outdoor,Running/Jogging/Walking
Lorong Melayu Park,Running/Jogging/Walking,1.3239981939644312,103.90932502642964,Outdoor,Running/Jogging/Walking
Jalan Singa Park,Running/Jogging/Walking,1.3309719001814444,103.9069388354374,Outdoor,Running/Jogging/Walking
Sea Breeze Avenue Park,Running/Jogging/Walking,1.3386583856793284,103.95218941847628,Outdoor,Running/Jogging/Walking
Sea Breeze Garden Park,Running/Jogging/Walking,1.337865928554698,103.95042164618069,Outdoor,Running/Jogging/Walking
Jln Kayu Pk,Running/Jogging/Walking,1.3981028673361924,103.87288129000338,Outdoor,Running/Jogging/Walking
Punggol Waterway Pk,Running/Jogging/Walking,1.4109972133070596,103.90481505251176,Outdoor,Running/Jogging/Walking
Chiltern Drive Interim Park,Running/Jogging/Walking,1.3485590553796722,103.86200639142878,Outdoor,Running/Jogging/Walking
Luxus Hills Park,Running/Jogging/Walking,1.3794966735254204,103.8750061921116,Outdoor,Running/Jogging/Walking
Colchester Grove Interim Os,Running/Jogging/Walking,1.3564831011967846,103.86674253718547,Outdoor,Running/Jogging/Walking
Ang Mo Kio Linear Pk (Plot 2),Running/Jogging/Walking,1.379334234,103.87176018975931,Outdoor,Running/Jogging/Walking
Ang Mo Kio Linear Pk (Plot 3),Running/Jogging/Walking,1.379191402986932,103.86871835024394,Outdoor,Running/Jogging/Walking
Jln Kayu Interim Pk,Running/Jogging/Walking,1.3987879613464556,103.87253565687772,Outdoor,Running/Jogging/Walking
Realty Park,Running/Jogging/Walking,1.3682274567821835,103.89011876921556,Outdoor,Running/Jogging/Walking
Paya Lebar Road Park,Running/Jogging/Walking,1.3328488352836063,103.88858043913332,Outdoor,Running/Jogging/Walking
Woodlands Waterfront Pk,Running/Jogging/Walking,1.4533560651448352,103.78131812725178,Outdoor,Running/Jogging/Walking
Kemuning Pk,Running/Jogging/Walking,1.4393255722864349,103.82708060222012,Outdoor,Running/Jogging/Walking
Legundi Pk,Running/Jogging/Walking,1.4411560592577497,103.82207014723264,Outdoor,Running/Jogging/Walking
Brook'S Park,Running/Jogging/Walking,1.4056081881963591,103.82297934779446,Outdoor,Running/Jogging/Walking
Haus Linear Park,Running/Jogging/Walking,1.364469664935699,103.86001282197256,Outdoor,Running/Jogging/Walking
Sembawang Hot Spring Park,Running/Jogging/Walking,1.4343322631927482,103.82264581250642,Outdoor,Running/Jogging/Walking
Irau Drive Playground,Running/Jogging/Walking,1.461943538497985,103.84006882882944,Outdoor,Running/Jogging/Walking
Upper Serangoon Park,Running/Jogging/Walking,1.3516374385511811,103.87522575970937,Outdoor,Running/Jogging/Walking
Lorong Kemunchup Playground,Running/Jogging/Walking,1.3603930473435468,103.76093338574456,Outdoor,Running/Jogging/Walking
Jalan Remaja Interim Park,Running/Jogging/Walking,1.357578323803302,103.760776,Outdoor,Running/Jogging/Walking
Fuyong Interim Pk,Running/Jogging/Walking,1.3574541615680369,103.7687509521143,Outdoor,Running/Jogging/Walking
Chestnut Close Park,Running/Jogging/Walking,1.3689466349411357,103.7733007053261,Outdoor,Running/Jogging/Walking
Pavilion Playground Ii,Running/Jogging/Walking,1.3683404220725546,103.75343447476293,Outdoor,Running/Jogging/Walking
Cashew Rd Interim Pk,Running/Jogging/Walking,1.3724045480241602,103.7679671,Outdoor,Running/Jogging/Walking
Faber Heights Park,Running/Jogging/Walking,1.3238384183511829,103.75526367638578,Outdoor,Running/Jogging/Walking
Jlg: Cg Mrt Tol Linkway,Running/Jogging/Walking,1.341095115528266,103.73200024650436,Outdoor,Running/Jogging/Walking
Sbg Lc Zone 1 (Tnc),Running/Jogging/Walking,1.3100244521730628,103.81562486238036,Outdoor,Running/Jogging/Walking
Sbg Lc Zone 2 (Cc/Btc),Running/Jogging/Walking,1.3210034671809083,103.8169579771443,Outdoor,Running/Jogging/Walking
Sbg Lc Zone 3 (Nog/Pv),Running/Jogging/Walking,1.3129062754466734,103.8140609121386,Outdoor,Running/Jogging/Walking
Sbg Lc Arbo/Prc/Pru ,Running/Jogging/Walking,1.3218387235806648,103.81789598168726,Outdoor,Running/Jogging/Walking
Fort Canning Park,Running/Jogging/Walking,1.295890735426131,103.8466093,Outdoor,Running/Jogging/Walking
The Foothills Fort Canning Pk,Running/Jogging/Walking,1.2922576144953883,103.8456906573111,Outdoor,Running/Jogging/Walking
Farquhar Garden (Fcp),Running/Jogging/Walking,1.2956865226548384,103.84867152086326,Outdoor,Running/Jogging/Walking
Empress Place,Running/Jogging/Walking,1.286961584,103.85213965205668,Outdoor,Running/Jogging/Walking
Esplanade Pk,Running/Jogging/Walking,1.289417085574277,103.85359672385977,Outdoor,Running/Jogging/Walking
Duxton Plain Pk,Running/Jogging/Walking,1.2811223325176546,103.84141929284569,Outdoor,Running/Jogging/Walking
Pearl'S Hill City Pk,Running/Jogging/Walking,1.2845131482934613,103.83872911197332,Outdoor,Running/Jogging/Walking
Raffles Place Pk,Running/Jogging/Walking,1.2835942597630638,103.8514999268154,Outdoor,Running/Jogging/Walking
Telok Ayer Pk,Running/Jogging/Walking,1.2781775055205808,103.84668683482796,Outdoor,Running/Jogging/Walking
Waterboat House Garden,Running/Jogging/Walking,1.2873195163410731,103.85347304115898,Outdoor,Running/Jogging/Walking
Tanjong Pagar Pk,Running/Jogging/Walking,1.2765778585703167,103.84577413154086,Outdoor,Running/Jogging/Walking
Telok Ayer Green,Running/Jogging/Walking,1.2814651634440863,103.8476437360112,Outdoor,Running/Jogging/Walking
Ann Siang Hill Pk,Running/Jogging/Walking,1.2810620002557065,103.84611877493366,Outdoor,Running/Jogging/Walking
Hong Lim Pk,Running/Jogging/Walking,1.2863319638689366,103.84705068432152,Outdoor,Running/Jogging/Walking
Toa Payoh Town Pk,Running/Jogging/Walking,1.3305698250739586,103.84795477931804,Outdoor,Running/Jogging/Walking
Kallang Riverside Pk,Running/Jogging/Walking,1.3077192983528685,103.86882040608396,Outdoor,Running/Jogging/Walking
Tiong Bahru Pk,Running/Jogging/Walking,1.2876172817355604,103.82402678837296,Outdoor,Running/Jogging/Walking
Thomson Rd Pg,Running/Jogging/Walking,1.3162599542348774,103.84370946452388,Outdoor,Running/Jogging/Walking
Malcolm Pk,Running/Jogging/Walking,1.3225629270112642,103.8265184733264,Outdoor,Running/Jogging/Walking
Kampong Glam Pk,Running/Jogging/Walking,1.3024454354320096,103.86299607104657,Outdoor,Running/Jogging/Walking
Hooper Rd Pg,Running/Jogging/Walking,1.3123989150672273,103.84320423199812,Outdoor,Running/Jogging/Walking
Rowell Rd Os,Running/Jogging/Walking,1.3084223021898134,103.85484861991678,Outdoor,Running/Jogging/Walking
Somme Rd Pg,Running/Jogging/Walking,1.3114841047156247,103.85815199975508,Outdoor,Running/Jogging/Walking
Beng Wan Rd Pg,Running/Jogging/Walking,1.3238060154419715,103.86583529863027,Outdoor,Running/Jogging/Walking
North Bridge Garden,Running/Jogging/Walking,1.3041093226010845,103.86214555169651,Outdoor,Running/Jogging/Walking
Goldhill Ave Pg,Running/Jogging/Walking,1.3211334171756737,103.83317379982168,Outdoor,Running/Jogging/Walking
Gentle Dr Pg,Running/Jogging/Walking,1.3203688056669944,103.84070309190496,Outdoor,Running/Jogging/Walking
Novena Pk,Running/Jogging/Walking,1.3223128035080336,103.84281346247634,Outdoor,Running/Jogging/Walking
Mount Emily Pk,Running/Jogging/Walking,1.3043760852680015,103.84761124346431,Outdoor,Running/Jogging/Walking
Penang Rd Os,Running/Jogging/Walking,1.3002353872402603,103.8414938192375,Outdoor,Running/Jogging/Walking
Jubilee Park (Fcp),Running/Jogging/Walking,1.293374207908301,103.84484592748184,Outdoor,Running/Jogging/Walking
Orchard Fountain Corner,Running/Jogging/Walking,1.3015871256010152,103.83761070678618,Outdoor,Running/Jogging/Walking
Istana Pk,Running/Jogging/Walking,1.2992640005702023,103.8439884144354,Outdoor,Running/Jogging/Walking
War Memorial Pk,Running/Jogging/Walking,1.2928245131605016,103.85481847201596,Outdoor,Running/Jogging/Walking
Kim Seng Pk,Running/Jogging/Walking,1.2926204540505026,103.8342551228348,Outdoor,Running/Jogging/Walking
Novena Rise Pk,Running/Jogging/Walking,1.324627530026666,103.84285301661774,Outdoor,Running/Jogging/Walking
Dhoby Ghaut Green,Running/Jogging/Walking,1.298430126950581,103.84584933421796,Outdoor,Running/Jogging/Walking
Handy Rd Os,Running/Jogging/Walking,1.2990570546594116,103.84780697048458,Outdoor,Running/Jogging/Walking
Bougainvillea Pk,Running/Jogging/Walking,1.3267341485452966,103.80762186035388,Outdoor,Running/Jogging/Walking
University Rd Pk,Running/Jogging/Walking,1.3254507127857538,103.81767447386102,Outdoor,Running/Jogging/Walking
Greenwood Crescent Pg,Running/Jogging/Walking,1.3355062363588597,103.80548695379504,Outdoor,Running/Jogging/Walking
Orchid Village Pg,Running/Jogging/Walking,1.335704021942395,103.80171316653193,Outdoor,Running/Jogging/Walking
Shelford Rd Pg,Running/Jogging/Walking,1.328370121120348,103.81043241139626,Outdoor,Running/Jogging/Walking
Watten Heights Pg,Running/Jogging/Walking,1.3315101656988075,103.80818355774429,Outdoor,Running/Jogging/Walking
Namly Pk,Running/Jogging/Walking,1.3232989310291234,103.79658146709734,Outdoor,Running/Jogging/Walking
Sixth Ave Pg,Running/Jogging/Walking,1.3224359361605311,103.79128056190346,Outdoor,Running/Jogging/Walking
King'S Dr Pg,Running/Jogging/Walking,1.319086675112928,103.80606154202394,Outdoor,Running/Jogging/Walking
Sunset Way Pk,Running/Jogging/Walking,1.327694579316932,103.76477924872368,Outdoor,Running/Jogging/Walking
Sunset Way Pg,Running/Jogging/Walking,1.3267878202224332,103.76640642909676,Outdoor,Running/Jogging/Walking
Sunset Heights Os,Running/Jogging/Walking,1.327945008025658,103.76886836516977,Outdoor,Running/Jogging/Walking
Clementi Crescent Pg,Running/Jogging/Walking,1.3235224958162637,103.77329951691917,Outdoor,Running/Jogging/Walking
Hua Guan Crescent Pg,Running/Jogging/Walking,1.3370105386444795,103.7850595398033,Outdoor,Running/Jogging/Walking
Greenleaf View Pk Pg,Running/Jogging/Walking,1.3223225608427498,103.7880792343608,Outdoor,Running/Jogging/Walking
Grove Lane Pg,Running/Jogging/Walking,1.3137632887413675,103.7842062105903,Outdoor,Running/Jogging/Walking
Jln Kebaya Pg,Running/Jogging/Walking,1.3141149108976589,103.78024635822102,Outdoor,Running/Jogging/Walking
Mount Sinai Plain Pg,Running/Jogging/Walking,1.315721017,103.78109728549768,Outdoor,Running/Jogging/Walking
Holland Grove View Fc,Running/Jogging/Walking,1.3124745780961788,103.78278534837222,Outdoor,Running/Jogging/Walking
Holland Grove View Pg,Running/Jogging/Walking,1.3129296671523445,103.78122162363572,Outdoor,Running/Jogging/Walking
Holland Green Pg,Running/Jogging/Walking,1.3268109004608926,103.78257759536768,Outdoor,Running/Jogging/Walking
Mayfair Pk,Running/Jogging/Walking,1.3415555200005544,103.7808928749876,Outdoor,Running/Jogging/Walking
Henry Pk,Running/Jogging/Walking,1.3162571773594276,103.78311800015676,Outdoor,Running/Jogging/Walking
Phoenix Park,Running/Jogging/Walking,1.3758898083445703,103.75723986270972,Outdoor,Running/Jogging/Walking
Cheng Soon Garden Pg,Running/Jogging/Walking,1.335886360637082,103.77168301094926,Outdoor,Running/Jogging/Walking
Chu Yen Playground,Running/Jogging/Walking,1.358697170052659,103.75897633995594,Outdoor,Running/Jogging/Walking
Eng Kong Garden Pg,Running/Jogging/Walking,1.3369237422732272,103.76916336188069,Outdoor,Running/Jogging/Walking
Eng Kong Place Fc,Running/Jogging/Walking,1.334739202719321,103.76724604913916,Outdoor,Running/Jogging/Walking
Golden Rise Pg,Running/Jogging/Walking,1.336323647928762,103.76486852005382,Outdoor,Running/Jogging/Walking
Greenridge Crescent Pg,Running/Jogging/Walking,1.3342797127441772,103.76576322902989,Outdoor,Running/Jogging/Walking
Jalan Dermawan Playground,Running/Jogging/Walking,1.3606389456498549,103.75860584483674,Outdoor,Running/Jogging/Walking
Jalan Tekukor Playground,Running/Jogging/Walking,1.3461378955794994,103.76677601808632,Outdoor,Running/Jogging/Walking
Hoover Park (Lor Pisang Hijau Playground),Running/Jogging/Walking,1.34387551,103.77302025529794,Outdoor,Running/Jogging/Walking
Highgate Walk Playground,Running/Jogging/Walking,1.340417184614863,103.76592436149276,Outdoor,Running/Jogging/Walking
Savoy Pk Pg,Running/Jogging/Walking,1.3334144853864318,103.76992667231652,Outdoor,Running/Jogging/Walking
Hillview Crescent Playground,Running/Jogging/Walking,1.355262346001316,103.76116232991828,Outdoor,Running/Jogging/Walking
Burgundy Crescent Playground,Running/Jogging/Walking,1.3398270199089035,103.7609050344812,Outdoor,Running/Jogging/Walking
Pavilion Park Playground,Running/Jogging/Walking,1.372285673351409,103.75197729239298,Outdoor,Running/Jogging/Walking
Duchess Pk,Running/Jogging/Walking,1.3242903125405507,103.80547941573252,Outdoor,Running/Jogging/Walking
Victoria Park Playground,Running/Jogging/Walking,1.3219027993967765,103.8018099364379,Outdoor,Running/Jogging/Walking
Maple Lane Park,Running/Jogging/Walking,1.3299945741675625,103.79259115095014,Outdoor,Running/Jogging/Walking
Holland Green Linear Park,Running/Jogging/Walking,1.3271228350438102,103.78401697245168,Outdoor,Running/Jogging/Walking
West Coast Park,Running/Jogging/Walking,1.2974744660733224,103.76283334042782,Outdoor,Running/Jogging/Walking
Clementi Woods Park,Running/Jogging/Walking,1.2989335350094564,103.76761685803038,Outdoor,Running/Jogging/Walking
Yunnan Park,Running/Jogging/Walking,1.3374845229132717,103.6929015341445,Outdoor,Running/Jogging/Walking
Lakeside Grove Playground,Running/Jogging/Walking,1.3400730144096729,103.71859444158254,Outdoor,Running/Jogging/Walking
Westwood Park Playground,Running/Jogging/Walking,1.351802648,103.70105312473154,Outdoor,Running/Jogging/Walking
Westville Playground,Running/Jogging/Walking,1.353602235401215,103.69953571293016,Outdoor,Running/Jogging/Walking
Lakeside Grove Fitness Corner,Running/Jogging/Walking,1.3397230462758167,103.71705725432878,Outdoor,Running/Jogging/Walking
Jalan Mas Kuning Playground,Running/Jogging/Walking,1.307851607722101,103.76352509593494,Outdoor,Running/Jogging/Walking
Jalan Mas Puteh Playground,Running/Jogging/Walking,1.3089863435762052,103.76200681668604,Outdoor,Running/Jogging/Walking
Pandan Reservoir Fitness Corner,Running/Jogging/Walking,1.3174990770561843,103.7487478,Outdoor,Running/Jogging/Walking
Taman Mas Merah Playground,Running/Jogging/Walking,1.308703286123271,103.76472555154504,Outdoor,Running/Jogging/Walking
West Coast Green Playground,Running/Jogging/Walking,1.3155603512098706,103.7563601696452,Outdoor,Running/Jogging/Walking
West Coast Place Playground,Running/Jogging/Walking,1.3142539349187183,103.7584501679103,Outdoor,Running/Jogging/Walking
Faber Hills Playground,Running/Jogging/Walking,1.319767250253672,103.75797647582051,Outdoor,Running/Jogging/Walking
Faber Heights Open Space,Running/Jogging/Walking,1.3225526398909135,103.7576085677288,Outdoor,Running/Jogging/Walking
Jurong Central Park,Running/Jogging/Walking,1.3379796517930498,103.70787455681167,Outdoor,Running/Jogging/Walking
Pasir Panjang Park,Running/Jogging/Walking,1.278746579452599,103.78392469711306,Outdoor,Running/Jogging/Walking
Kent Ridge Park,Running/Jogging/Walking,1.284392364523694,103.7903187684368,Outdoor,Running/Jogging/Walking
Jambol Place Park,Running/Jogging/Walking,1.2790257618919407,103.79018535239057,Outdoor,Running/Jogging/Walking
Chwee Chian Playground,Running/Jogging/Walking,1.279572837078235,103.78895401879323,Outdoor,Running/Jogging/Walking
One-North Park,Running/Jogging/Walking,1.3042782782065545,103.79036831078189,Outdoor,Running/Jogging/Walking
Mount Faber Park,Running/Jogging/Walking,1.2705515087384658,103.81933003105216,Outdoor,Running/Jogging/Walking
Telok Blangah Hill Park,Running/Jogging/Walking,1.2786594119326866,103.81025373344492,Outdoor,Running/Jogging/Walking
Ganges Ave Os,Running/Jogging/Walking,1.290793230671245,103.83179846135349,Outdoor,Running/Jogging/Walking
Kim Pong Park,Running/Jogging/Walking,1.283590396304199,103.82973723189949,Outdoor,Running/Jogging/Walking
Bukit Gombak Park,Running/Jogging/Walking,1.3672173562028185,103.7524341787261,Outdoor,Running/Jogging/Walking
Tampines Boulevard Park,Running/Jogging/Walking,1.363756342117129,103.94064313618163,Outdoor,Running/Jogging/Walking
Boundary Road Park,Running/Jogging/Walking,1.3540401971512352,103.87478098464692,Outdoor,Running/Jogging/Walking
